user,Gender,Age,part,moisture,level,minimum,maximum,range
15,Male,25,1,23,1,1,1,0
15,Male,25,1,23,2,6,6,0
15,Male,25,1,23,3,4,14,10
15,Male,25,1,23,4,19,19,0
15,Male,25,2,31,1,1,1,0
15,Male,25,2,31,2,12,12,0
15,Male,25,2,31,3,12,37,25
15,Male,25,2,31,4,42,42,0
15,Male,25,3,36,1,1,1,0
15,Male,25,3,36,2,6,6,0
15,Male,25,3,36,3,8,28,20
15,Male,25,3,36,4,33,33,0
15,Male,25,4,25,1,1,1,0
15,Male,25,4,25,2,6,6,0
15,Male,25,4,25,3,8,38,30
15,Male,25,4,25,4,43,43,0
15,Male,25,5,36,1,1,1,0
15,Male,25,5,36,2,11,11,0
15,Male,25,5,36,3,12,32,20
15,Male,25,5,36,4,37,37,0
15,Male,25,6,41,1,1,1,0
15,Male,25,6,41,2,6,6,0
15,Male,25,6,41,3,10,35,25
15,Male,25,6,41,4,40,40,0
14,Male,25,1,32,1,1,1,0
14,Male,25,1,32,2,6,6,0
14,Male,25,1,32,3,8,13,5
14,Male,25,1,32,4,18,18,0
14,Male,25,2,32,1,1,1,0
14,Male,25,2,32,2,16,16,0
14,Male,25,2,32,3,18,18,0
14,Male,25,2,32,4,23,23,0
14,Male,25,3,39,1,1,1,0
14,Male,25,3,39,2,6,6,0
14,Male,25,3,39,3,8,14,6
14,Male,25,3,39,4,16,16,0
14,Male,25,4,39,1,1,1,0
14,Male,25,4,39,2,11,11,0
14,Male,25,4,39,3,12,12,0
14,Male,25,4,39,4,17,17,0
14,Male,25,5,32,1,1,1,0
14,Male,25,5,32,2,6,6,0
14,Male,25,5,32,3,10,25,15
14,Male,25,5,32,4,30,30,0
14,Male,25,6,36,1,1,1,0
14,Male,25,6,36,2,6,6,0
14,Male,25,6,36,3,8,13,5
14,Male,25,6,36,4,18,18,0
16,Male,25,1,39,1,1,1,0
16,Male,25,1,39,2,6,6,0
16,Male,25,1,39,3,7,200,193
16,Male,25,2,35,1,1,1,0
16,Male,25,2,35,2,6,6,0
16,Male,25,2,35,3,2,52,50
16,Male,25,2,35,4,57,57,0
16,Male,25,3,36,1,1,2,1
16,Male,25,3,36,2,1,7,6
16,Male,25,3,36,3,6,200,194
16,Male,25,4,32,1,1,1,0
16,Male,25,4,32,2,6,6,0
16,Male,25,4,32,3,3,200,197
16,Male,25,5,21,1,1,1,0
16,Male,25,5,21,2,6,6,0
16,Male,25,5,21,3,4,200,196
16,Male,25,6,60,2,1,1,0
16,Male,25,6,60,3,6,200,194
17,Male,25,1,48,1,1,1,0
17,Male,25,1,48,2,6,6,0
17,Male,25,1,48,3,9,34,25
17,Male,25,1,48,4,39,39,0
17,Male,25,2,38,1,1,1,0
17,Male,25,2,38,2,6,6,0
17,Male,25,2,38,3,2,40,38
17,Male,25,2,38,4,45,45,0
17,Male,25,3,41,1,1,1,0
17,Male,25,3,41,2,6,6,0
17,Male,25,3,41,3,4,44,40
17,Male,25,3,41,4,49,49,0
17,Male,25,4,60,1,1,1,0
17,Male,25,4,60,2,11,11,0
17,Male,25,4,60,3,7,52,45
17,Male,25,4,60,4,57,57,0
17,Male,25,5,48,1,1,1,0
17,Male,25,5,48,2,6,6,0
17,Male,25,5,48,3,11,61,50
17,Male,25,5,48,4,66,66,0
17,Male,25,6,41,1,1,1,0
17,Male,25,6,41,2,6,6,0
17,Male,25,6,41,3,11,71,60
17,Male,25,6,41,4,76,76,0
13,Male,25,1,36,2,1,1,0
13,Male,25,1,36,3,16,31,15
13,Male,25,1,36,4,36,36,0
13,Male,25,2,35,2,6,6,0
13,Male,25,2,35,3,8,200,192
13,Male,25,3,35,2,1,1,0
13,Male,25,3,35,3,6,200,194
13,Male,25,4,35,1,1,1,0
13,Male,25,4,35,2,16,16,0
13,Male,25,4,35,3,15,200,185
13,Male,25,5,20,1,1,1,0
13,Male,25,5,20,2,6,6,0
13,Male,25,5,20,3,3,200,197
13,Male,25,6,32,2,1,1,0
13,Male,25,6,32,3,11,200,189
12,Male,25,1,10,2,1,1,0
12,Male,25,1,10,3,6,76,70
12,Male,25,1,10,4,81,81,0
12,Male,25,2,10,2,1,1,0
12,Male,25,2,10,3,6,21,15
12,Male,25,2,10,4,26,26,0
12,Male,25,3,10,2,1,1,0
12,Male,25,3,10,3,6,36,30
12,Male,25,3,10,4,46,46,0
12,Male,25,4,12,2,1,1,0
12,Male,25,4,12,3,6,31,25
12,Male,25,4,12,4,36,36,0
12,Male,25,5,15,1,1,1,0
12,Male,25,5,15,2,1,6,5
12,Male,25,5,15,3,11,56,45
12,Male,25,5,15,4,56,56,0
12,Male,25,6,10,2,1,1,0
12,Male,25,6,10,3,6,21,15
12,Male,25,6,10,4,26,26,0
10,Male,25,1,36,2,1,1,0
10,Male,25,1,36,3,6,200,194
10,Male,25,2,32,2,6,6,0
10,Male,25,2,32,3,16,111,95
10,Male,25,2,32,4,116,116,0
10,Male,25,3,32,2,6,6,0
10,Male,25,3,32,3,6,200,194
10,Male,25,4,36,1,1,1,0
10,Male,25,4,36,2,6,6,0
10,Male,25,4,36,3,19,200,181
10,Male,25,5,32,1,1,1,0
10,Male,25,5,32,2,6,6,0
10,Male,25,5,32,3,8,200,192
10,Male,25,6,36,1,1,1,0
10,Male,25,6,36,2,6,6,0
10,Male,25,6,36,3,17,200,183
11,Male,25,1,60,2,1,1,0
11,Male,25,1,60,3,6,51,45
11,Male,25,1,60,4,56,56,0
11,Male,25,2,32,2,1,1,0
11,Male,25,2,32,3,11,31,20
11,Male,25,2,32,4,36,36,0
11,Male,25,3,25,2,1,1,0
11,Male,25,3,25,3,6,200,194
11,Male,25,4,39,2,1,1,0
11,Male,25,4,39,3,11,200,189
11,Male,25,5,32,2,1,1,0
11,Male,25,5,32,3,6,200,194
11,Male,25,6,10,2,1,1,0
11,Male,25,6,10,3,21,200,179
9,Male,25,1,26,1,1,1,0
9,Male,25,1,26,2,6,6,0
9,Male,25,1,26,3,10,200,190
9,Male,25,2,20,1,1,1,0
9,Male,25,2,20,2,11,11,0
9,Male,25,2,20,3,14,200,186
9,Male,25,3,31,1,1,1,0
9,Male,25,3,31,2,11,11,0
9,Male,25,3,31,3,9,200,191
9,Male,25,4,15,1,1,6,5
9,Male,25,4,15,4,1,191,190
9,Male,25,5,10,1,1,1,0
9,Male,25,5,10,3,67,197,130
9,Male,25,6,15,1,1,1,0
9,Male,25,6,15,2,26,26,0
9,Male,25,6,15,3,27,200,173
8,Male,25,1,10,1,1,11,10
8,Male,25,1,10,2,14,16,2
8,Male,25,1,10,4,4,4,0
8,Male,25,2,10,1,1,1,0
8,Male,25,2,10,2,6,6,0
8,Male,25,2,10,3,8,13,5
8,Male,25,2,10,4,23,23,0
8,Male,25,3,20,1,1,1,0
8,Male,25,3,20,2,6,6,0
8,Male,25,3,20,3,5,20,15
8,Male,25,3,20,4,25,25,0
8,Male,25,4,32,1,1,1,0
8,Male,25,4,32,2,12,12,0
8,Male,25,4,32,3,13,58,45
8,Male,25,4,32,4,63,68,5
8,Male,25,5,26,1,1,1,0
8,Male,25,5,26,2,21,21,0
8,Male,25,5,26,3,20,65,45
8,Male,25,5,26,4,65,65,0
8,Male,25,6,32,2,6,6,0
8,Male,25,6,32,3,6,41,35
8,Male,25,6,32,4,51,51,0
5,Male,25,1,60,2,1,1,0
5,Male,25,1,60,4,2,2,0
5,Male,25,2,32,1,1,1,0
5,Male,25,2,32,2,6,6,0
5,Male,25,2,32,3,7,17,10
5,Male,25,2,32,4,22,22,0
5,Male,25,3,31,2,1,2,1
5,Male,25,3,31,3,7,7,0
5,Male,25,3,31,4,12,12,0
5,Male,25,4,56,1,1,1,0
5,Male,25,4,56,2,11,11,0
5,Male,25,4,56,3,13,23,10
5,Male,25,4,56,4,28,28,0
5,Male,25,5,25,1,1,1,0
5,Male,25,5,25,2,3,6,3
5,Male,25,5,25,3,7,17,10
5,Male,25,5,25,4,22,22,0
5,Male,25,6,35,1,1,1,0
5,Male,25,6,35,2,12,12,0
5,Male,25,6,35,3,17,27,10
5,Male,25,6,35,4,32,32,0
4,Male,25,1,35,1,1,1,0
4,Male,25,1,35,2,21,21,0
4,Male,25,1,35,3,21,200,179
4,Male,25,2,36,1,1,1,0
4,Male,25,2,36,2,1,2,1
4,Male,25,2,36,3,47,192,145
4,Male,25,3,46,2,1,2,1
4,Male,25,3,46,3,42,200,158
4,Male,25,4,32,1,1,1,0
4,Male,25,4,32,2,176,176,0
4,Male,25,4,32,3,186,200,14
4,Male,25,5,40,1,1,1,0
4,Male,25,5,40,2,11,11,0
4,Male,25,5,40,3,12,200,188
4,Male,25,6,41,1,1,1,0
4,Male,25,6,41,2,7,7,0
4,Male,25,6,41,3,17,200,183
6,Male,25,1,60,1,1,1,0
6,Male,25,1,60,2,6,6,0
6,Male,25,1,60,3,57,152,95
6,Male,25,1,60,4,152,152,0
6,Male,25,2,36,2,1,2,1
6,Male,25,2,36,3,22,200,178
6,Male,25,3,32,1,1,1,0
6,Male,25,3,32,2,6,6,0
6,Male,25,3,32,3,22,200,178
6,Male,25,4,35,1,1,1,0
6,Male,25,4,35,2,36,36,0
6,Male,25,4,35,3,54,200,146
6,Male,25,5,32,1,1,1,0
6,Male,25,5,32,2,16,16,0
6,Male,25,5,32,3,41,200,159
6,Male,25,6,35,1,1,1,0
6,Male,25,6,35,2,11,11,0
6,Male,25,6,35,3,8,200,192
7,Male,25,1,36,1,1,1,0
7,Male,25,1,36,2,11,11,0
7,Male,25,1,36,3,17,200,183
7,Male,25,2,32,1,1,1,0
7,Male,25,2,32,2,6,6,0
7,Male,25,2,32,3,23,128,105
7,Male,25,2,32,4,118,118,0
7,Male,25,3,36,1,1,1,0
7,Male,25,3,36,2,6,6,0
7,Male,25,3,36,3,18,43,25
7,Male,25,3,36,4,53,200,147
7,Male,25,4,36,1,1,1,0
7,Male,25,4,36,2,26,26,0
7,Male,25,4,36,3,22,200,178
7,Male,25,5,15,1,1,1,0
7,Male,25,5,15,2,11,11,0
7,Male,25,5,15,3,9,200,191
7,Male,25,6,36,1,1,1,0
7,Male,25,6,36,2,16,16,0
7,Male,25,6,36,3,12,57,45
7,Male,25,6,36,4,62,197,135
3,Male,25,1,19,2,17,17,0
3,Male,25,1,19,3,23,200,177
3,Male,25,2,19,1,1,1,0
3,Male,25,2,19,2,21,21,0
3,Male,25,2,19,3,22,200,178
3,Male,25,3,25,1,1,1,0
3,Male,25,3,25,2,11,11,0
3,Male,25,3,25,3,7,200,193
3,Male,25,4,36,1,1,6,5
3,Male,25,4,36,2,1,11,10
3,Male,25,4,36,4,6,6,0
3,Male,25,5,32,1,1,1,0
3,Male,25,5,32,2,6,6,0
3,Male,25,5,32,3,83,200,117
3,Male,25,6,36,2,1,6,5
3,Male,25,6,36,3,6,6,0
3,Male,25,6,36,4,86,86,0
2,Male,25,1,10,2,25,25,0
2,Male,25,1,10,3,56,200,144
2,Male,25,2,10,1,1,1,0
2,Male,25,2,10,2,6,6,0
2,Male,25,2,10,3,7,77,70
2,Male,25,2,10,4,82,82,0
2,Male,25,3,11,1,1,1,0
2,Male,25,3,11,2,11,11,0
2,Male,25,3,11,3,43,200,157
2,Male,25,4,39,1,1,1,0
2,Male,25,4,39,2,31,31,0
2,Male,25,4,39,3,29,199,170
2,Male,25,5,21,1,1,1,0
2,Male,25,5,21,2,16,16,0
2,Male,25,5,21,3,11,200,189
2,Male,25,6,10,1,1,1,0
2,Male,25,6,10,2,21,21,0
2,Male,25,6,10,3,16,200,184
1,Male,25,1,25,1,1,1,0
1,Male,25,1,25,2,16,16,0
1,Male,25,1,25,3,16,16,0
1,Male,25,1,25,4,46,46,0
1,Male,25,2,34,2,6,6,0
1,Male,25,2,34,3,23,28,5
1,Male,25,2,34,4,38,38,0
1,Male,25,3,32,1,1,1,0
1,Male,25,3,32,2,6,6,0
1,Male,25,3,32,3,3,3,0
1,Male,25,3,32,4,28,28,0
1,Male,25,4,37,1,1,1,0
1,Male,25,4,37,2,11,11,0
1,Male,25,4,37,3,32,57,25
1,Male,25,4,37,4,72,72,0
1,Male,25,5,36,1,1,1,0
1,Male,25,5,36,2,6,6,0
1,Male,25,5,36,3,11,11,0
1,Male,25,5,36,4,21,46,25
1,Male,25,6,32,1,1,1,0
1,Male,25,6,32,2,6,6,0
1,Male,25,6,32,3,12,12,0
1,Male,25,6,32,4,31,31,0
20,Male,25,1,10,1,1,1,0
20,Male,25,1,10,2,6,6,0
20,Male,25,1,10,3,9,39,30
20,Male,25,1,10,4,44,44,0
20,Male,25,2,16,1,1,1,0
20,Male,25,2,16,2,6,6,0
20,Male,25,2,16,3,8,33,25
20,Male,25,2,16,4,38,38,0
20,Male,25,3,25,1,1,1,0
20,Male,25,3,25,2,6,6,0
20,Male,25,3,25,3,8,33,25
20,Male,25,3,25,4,38,38,0
20,Male,25,4,25,1,1,1,0
20,Male,25,4,25,2,6,6,0
20,Male,25,4,25,3,9,49,40
20,Male,25,4,25,4,54,54,0
20,Male,25,5,20,1,1,1,0
20,Male,25,5,20,2,6,6,0
20,Male,25,5,20,3,11,51,40
20,Male,25,5,20,4,56,56,0
20,Male,25,6,33,1,1,1,0
20,Male,25,6,33,2,6,6,0
20,Male,25,6,33,3,8,48,40
20,Male,25,6,33,4,53,53,0
19,Male,25,1,32,1,1,1,0
19,Male,25,1,32,2,6,6,0
19,Male,25,1,32,3,11,200,189
19,Male,25,2,10,1,1,1,0
19,Male,25,2,10,2,6,6,0
19,Male,25,2,10,3,11,200,189
19,Male,25,3,10,1,1,1,0
19,Male,25,3,10,2,11,11,0
19,Male,25,3,10,3,13,200,187
19,Male,25,4,10,1,1,1,0
19,Male,25,4,10,2,21,21,0
19,Male,25,4,10,3,23,200,177
19,Male,25,5,32,1,1,1,0
19,Male,25,5,32,2,16,16,0
19,Male,25,5,32,3,20,200,180
19,Male,25,6,32,1,1,1,0
19,Male,25,6,32,2,11,11,0
19,Male,25,6,32,3,10,200,190
18,Male,25,1,33,1,1,1,0
18,Male,25,1,33,2,6,6,0
18,Male,25,1,33,3,9,49,40
18,Male,25,1,33,4,54,54,0
18,Male,25,2,10,1,1,1,0
18,Male,25,2,10,2,16,16,0
18,Male,25,2,10,3,15,65,50
18,Male,25,2,10,4,70,70,0
18,Male,25,3,10,1,1,1,0
18,Male,25,3,10,2,6,6,0
18,Male,25,3,10,3,11,200,189
18,Male,25,4,15,1,1,1,0
18,Male,25,4,15,2,11,11,0
18,Male,25,4,15,3,7,200,193
18,Male,25,5,10,1,1,1,0
18,Male,25,5,10,2,6,6,0
18,Male,25,5,10,3,10,200,190
18,Male,25,6,26,1,1,1,0
18,Male,25,6,26,2,6,6,0
18,Male,25,6,26,3,9,200,191
