Loc,Moisture,Threshold,Tolerance,Id
1,23,6,14,15
2,31,12,37,15
3,36,6,28,15
4,25,6,38,15
5,36,11,32,15
6,41,6,35,15
1,32,6,13,14
2,32,16,18,14
3,39,6,14,14
4,39,11,12,14
5,32,6,25,14
6,36,6,13,14
1,39,6,200,16
2,35,6,52,16
3,36,1,200,16
4,32,6,200,16
5,21,6,200,16
6,60,1,200,16
1,48,6,34,17
2,38,6,40,17
3,41,6,44,17
4,60,11,52,17
5,48,6,61,17
6,41,6,71,17
1,36,1,31,13
2,35,6,200,13
3,35,1,200,13
4,35,16,200,13
5,20,6,200,13
6,32,1,200,13
1,10,1,76,12
2,10,1,21,12
3,10,1,36,12
4,12,1,31,12
5,15,1,56,12
6,10,1,21,12
1,36,1,200,10
2,32,6,111,10
3,32,6,200,10
4,36,6,200,10
5,32,6,200,10
6,36,6,200,10
1,60,1,51,11
2,32,1,31,11
3,25,1,200,11
4,39,1,200,11
5,32,1,200,11
6,10,1,200,11
1,26,6,200,9
2,20,11,200,9
3,31,11,200,9
4,15,5,191,9
5,10,3,197,9
6,15,26,200,9
2,10,6,13,8
3,20,6,20,8
4,32,12,58,8
5,26,21,65,8
6,32,6,41,8
2,32,6,17,5
3,31,1,7,5
4,56,11,23,5
5,25,3,17,5
6,35,12,27,5
1,35,21,200,4
2,36,1,192,4
3,46,1,200,4
4,32,176,200,4
5,40,11,200,4
6,41,7,200,4
1,60,6,152,6
2,36,1,200,6
3,32,6,200,6
4,35,36,200,6
5,32,16,200,6
6,35,11,200,6
1,36,11,200,7
2,32,6,128,7
3,36,6,43,7
4,36,26,200,7
5,15,11,200,7
6,36,16,57,7
1,19,17,200,3
2,19,21,200,3
3,25,11,200,3
5,32,6,200,3
6,36,1,6,3
1,10,25,200,2
2,10,6,77,2
3,11,11,200,2
4,39,31,199,2
5,21,16,200,2
6,10,21,200,2
1,25,16,16,1
2,34,6,28,1
3,32,6,3,1
4,37,11,57,1
5,36,6,11,1
6,32,6,12,1
1,10,6,39,20
2,16,6,33,20
3,25,6,33,20
4,25,6,49,20
5,20,6,51,20
6,33,6,48,20
1,32,6,200,19
2,10,6,200,19
3,10,11,200,19
4,10,21,200,19
5,32,16,200,19
6,32,11,200,19
1,33,6,49,18
2,10,16,65,18
3,10,6,200,18
4,15,11,200,18
5,10,6,200,18
